Strain,Country,Human_subject,Study_accession,score,Sample_accession,
GUT_GENOME000056,United Kingdom,Unknown,ERP105624,93.85852222,ERS417255,
GUT_GENOME000057,United Kingdom,Unknown,ERP105624,101.1355942,ERS417256,
GUT_GENOME000058,United Kingdom,Unknown,ERP105624,100.6883904,ERS417257,
GUT_GENOME000059,United Kingdom,Unknown,ERP105624,101.1599271,ERS417258,
GUT_GENOME000060,United Kingdom,Unknown,ERP105624,101.2788022,ERS417259,
GUT_GENOME000061,United Kingdom,Unknown,ERP105624,100.0620611,ERS417260,
GUT_GENOME000062,United Kingdom,Unknown,ERP105624,97.90242969,ERS417261,
GUT_GENOME000063,United Kingdom,Unknown,ERP105624,100.2243347,ERS417262,
GUT_GENOME000064,United Kingdom,Unknown,ERP105624,101.4966635,ERS417263,
GUT_GENOME000065,United Kingdom,Unknown,ERP105624,102.1018693,ERS417264,
GUT_GENOME000066,United Kingdom,Unknown,ERP105624,101.8419386,ERS417265,
GUT_GENOME000067,United Kingdom,Unknown,ERP105624,99.26063748,ERS417266,
GUT_GENOME000068,United Kingdom,Unknown,ERP105624,100.7965455,ERS417212,
GUT_GENOME000069,United Kingdom,Unknown,ERP105624,102.6589492,ERS417267,
GUT_GENOME000070,United Kingdom,Unknown,ERP105624,101.1344891,ERS417268,
GUT_GENOME000071,United Kingdom,Unknown,ERP105624,101.7669306,ERS417279,
GUT_GENOME000072,United Kingdom,Unknown,ERP105624,101.4056536,ERS417280,
GUT_GENOME000073,United Kingdom,Unknown,ERP105624,91.59188513,ERS417281,
GUT_GENOME000074,United Kingdom,Unknown,ERP105624,101.1611782,ERS417282,
GUT_GENOME000075,United Kingdom,Unknown,ERP105624,101.5504266,ERS417283,
GUT_GENOME000076,United Kingdom,Unknown,ERP105624,102.7321456,ERS417285,
GUT_GENOME000077,United Kingdom,Unknown,ERP105624,99.93750751,ERS417213,
GUT_GENOME000078,United Kingdom,Unknown,ERP105624,101.9902004,ERS417287,
GUT_GENOME000079,United Kingdom,Unknown,ERP105624,89.64875588,ERS417288,
GUT_GENOME000080,United Kingdom,Unknown,ERP105624,98.013698,ERS417289,
GUT_GENOME000081,United Kingdom,Unknown,ERP105624,92.84451919,ERS417290,
GUT_GENOME000082,United Kingdom,Unknown,ERP105624,98.05851939,ERS417291,
GUT_GENOME000083,United Kingdom,Unknown,ERP105624,98.84266117,ERS417292,
GUT_GENOME000084,United Kingdom,Unknown,ERP105624,95.76943491,ERS417293,
GUT_GENOME000085,United Kingdom,Unknown,ERP105624,100.8914152,ERS417295,
GUT_GENOME000086,United Kingdom,Unknown,ERP105624,94.82632954,ERS417296,
GUT_GENOME000087,United Kingdom,Unknown,ERP105624,101.8117433,ERS417214,
GUT_GENOME000088,United Kingdom,Unknown,ERP105624,102.0843806,ERS417297,
GUT_GENOME000089,United Kingdom,Unknown,ERP105624,100.9567992,ERS417298,
GUT_GENOME000090,United Kingdom,Unknown,ERP105624,100.9187067,ERS417299,
GUT_GENOME000091,United Kingdom,Unknown,ERP105624,95.07716911,ERS417300,
GUT_GENOME000092,United Kingdom,Unknown,ERP105624,102.7417494,ERS417301,
GUT_GENOME000093,United Kingdom,Unknown,ERP105624,100.8690921,ERS417303,
GUT_GENOME000094,United Kingdom,Unknown,ERP105624,100.7385707,ERS417304,
GUT_GENOME000095,United Kingdom,Unknown,ERP105624,100.3387794,ERS417305,
GUT_GENOME000096,United Kingdom,Unknown,ERP105624,101.2008487,ERS417306,
GUT_GENOME000097,United Kingdom,Unknown,ERP105624,97.91188788,ERS417215,
GUT_GENOME000098,United Kingdom,H1,ERP012217,99.44624063,ERS417307,
GUT_GENOME000099,United Kingdom,Unknown,ERP105624,99.121419,ERS417308,
GUT_GENOME000100,United Kingdom,H1,ERP012217,102.0108654,ERS417309,
GUT_GENOME000101,United Kingdom,H1,ERP012217,99.27920543,ERS417310,
GUT_GENOME000102,United Kingdom,H1,ERP012217,95.53087572,ERS417311,
GUT_GENOME000103,United Kingdom,H1,ERP012217,100.3320123,ERS417312,
GUT_GENOME000104,United Kingdom,Unknown,ERP105624,98.97603113,ERS417216,
GUT_GENOME000105,United Kingdom,Unknown,ERP105624,101.5034802,ERS417211,
GUT_GENOME000106,United Kingdom,Unknown,ERP105624,96.68898221,ERS417229,
GUT_GENOME000107,United Kingdom,Unknown,ERP105624,102.1442573,ERS417232,
GUT_GENOME000108,United Kingdom,Unknown,ERP105624,91.95615205,ERS417294,
GUT_GENOME000109,United Kingdom,Unknown,ERP105624,101.5876976,ERS2046316,
GUT_GENOME000110,United Kingdom,H1,ERP012217,90.34091192,ERS852384,
GUT_GENOME000111,United Kingdom,H1,ERP012217,99.40890168,ERS852385,
GUT_GENOME000112,United Kingdom,H1,ERP012217,102.1556739,ERS852386,
GUT_GENOME000113,United Kingdom,H1,ERP012217,92.07657267,ERS852387,
GUT_GENOME000114,United Kingdom,H1,ERP012217,101.3669573,ERS852388,
GUT_GENOME000115,United Kingdom,H1,ERP012217,101.2020872,ERS852389,
GUT_GENOME000116,United Kingdom,H1,ERP012217,101.7309743,ERS852390,
GUT_GENOME000117,United Kingdom,H1,ERP012217,99.89674586,ERS852392,
GUT_GENOME000118,United Kingdom,H1,ERP012217,91.99114234,ERS852375,
GUT_GENOME000119,United Kingdom,H1,ERP012217,100.4138552,ERS852393,
GUT_GENOME000120,United Kingdom,H1,ERP012217,102.0310859,ERS852394,
GUT_GENOME000121,United Kingdom,H1,ERP012217,101.9860353,ERS852395,
GUT_GENOME000122,United Kingdom,H1,ERP012217,96.55863946,ERS852397,
GUT_GENOME000123,United Kingdom,H2,ERP012217,100.8347015,ERS852398,
GUT_GENOME000124,United Kingdom,H2,ERP012217,98.50321105,ERS852399,
GUT_GENOME000125,United Kingdom,H2,ERP012217,102.0290638,ERS852400,
GUT_GENOME000126,United Kingdom,H2,ERP012217,101.8969978,ERS852401,
GUT_GENOME000127,United Kingdom,H2,ERP012217,94.51095427,ERS852402,
GUT_GENOME000128,United Kingdom,H1,ERP012217,102.1295795,ERS852376,
GUT_GENOME000129,United Kingdom,H2,ERP012217,101.8621257,ERS852403,
GUT_GENOME000130,United Kingdom,H2,ERP012217,100.6111669,ERS852404,
GUT_GENOME000131,United Kingdom,H2,ERP012217,100.5601254,ERS852405,
GUT_GENOME000132,United Kingdom,H2,ERP012217,97.83469608,ERS852406,
GUT_GENOME000133,United Kingdom,H2,ERP012217,94.96574738,ERS852407,
GUT_GENOME000134,United Kingdom,H2,ERP012217,102.0023816,ERS852408,
GUT_GENOME000135,United Kingdom,H2,ERP012217,102.0737106,ERS852409,
GUT_GENOME000136,United Kingdom,H2,ERP012217,95.42150175,ERS852410,
GUT_GENOME000137,United Kingdom,H2,ERP012217,100.8460429,ERS852412,
GUT_GENOME000138,United Kingdom,H1,ERP012217,102.1443043,ERS852377,
GUT_GENOME000139,United Kingdom,H2,ERP012217,93.52096653,ERS852414,
GUT_GENOME000140,United Kingdom,H3,ERP012217,91.89444222,ERS852415,
GUT_GENOME000141,United Kingdom,H3,ERP012217,100.5442852,ERS852416,
GUT_GENOME000142,United Kingdom,H3,ERP012217,100.8344189,ERS852417,
GUT_GENOME000143,United Kingdom,H3,ERP012217,95.36470627,ERS852418,
GUT_GENOME000144,United Kingdom,H3,ERP012217,101.4006174,ERS852419,
GUT_GENOME000145,United Kingdom,H3,ERP012217,91.67664481,ERS852420,
GUT_GENOME000146,United Kingdom,H3,ERP012217,100.097399,ERS852421,
GUT_GENOME000147,United Kingdom,H3,ERP012217,84.78564304,ERS852422,
GUT_GENOME000148,United Kingdom,H1,ERP012217,99.25277372,ERS852378,
GUT_GENOME000149,United Kingdom,H3,ERP012217,102.0402322,ERS852423,
GUT_GENOME000150,United Kingdom,H3,ERP012217,101.2121234,ERS852424,
GUT_GENOME000151,United Kingdom,H3,ERP012217,91.78931697,ERS852425,
GUT_GENOME000152,United Kingdom,H3,ERP012217,101.8774305,ERS852426,
GUT_GENOME000153,United Kingdom,H3,ERP012217,96.85007445,ERS852427,
GUT_GENOME000154,United Kingdom,H3,ERP012217,100.2252033,ERS852428,
GUT_GENOME000155,United Kingdom,H3,ERP012217,101.790334,ERS852430,
GUT_GENOME000156,United Kingdom,H3,ERP012217,101.5338835,ERS852431,
GUT_GENOME000157,United Kingdom,H3,ERP012217,101.5771899,ERS852432,
GUT_GENOME000158,United Kingdom,H1,ERP012217,99.85574098,ERS852379,
GUT_GENOME000159,United Kingdom,H3,ERP012217,90.29904111,ERS852433,
GUT_GENOME000160,United Kingdom,H3,ERP012217,100.9807638,ERS852434,
GUT_GENOME000161,United Kingdom,H3,ERP012217,100.5466909,ERS852435,
GUT_GENOME000162,United Kingdom,H3,ERP012217,100.2664366,ERS852436,
GUT_GENOME000163,United Kingdom,H3,ERP012217,100.3758752,ERS852437,
GUT_GENOME000164,United Kingdom,H3,ERP012217,100.4415792,ERS852438,
GUT_GENOME000165,United Kingdom,H3,ERP012217,98.8251151,ERS852439,
GUT_GENOME000166,United Kingdom,H3,ERP012217,94.7919792,ERS852440,
GUT_GENOME000167,United Kingdom,H3,ERP012217,90.16623363,ERS852441,
GUT_GENOME000168,United Kingdom,H3,ERP012217,98.45501525,ERS852442,
GUT_GENOME000169,United Kingdom,H1,ERP012217,101.7731416,ERS852380,
GUT_GENOME000170,United Kingdom,H3,ERP012217,95.77952087,ERS852443,
GUT_GENOME000171,United Kingdom,H3,ERP012217,99.39128429,ERS852444,
GUT_GENOME000172,United Kingdom,H3,ERP012217,102.2021419,ERS852445,
GUT_GENOME000173,United Kingdom,H3,ERP012217,103.1639127,ERS852446,
GUT_GENOME000174,United Kingdom,H3,ERP012217,94.91357742,ERS852447,
GUT_GENOME000175,United Kingdom,H3,ERP012217,98.88356936,ERS852448,
GUT_GENOME000176,United Kingdom,H3,ERP012217,101.2265957,ERS852449,
GUT_GENOME000177,United Kingdom,H1,ERP012217,98.47711304,ERS852381,
GUT_GENOME000178,United Kingdom,H1,ERP012217,99.41422716,ERS852382,
GUT_GENOME000179,United Kingdom,H1,ERP012217,96.99301921,ERS852450,
GUT_GENOME000180,United Kingdom,H2,ERP012217,101.2645017,ERS852451,
GUT_GENOME000181,United Kingdom,H2,ERP012217,100.9383887,ERS852452,
GUT_GENOME000182,United Kingdom,H2,ERP012217,102.0998438,ERS852453,
GUT_GENOME000183,United Kingdom,H2,ERP012217,100.7358678,ERS852454,
GUT_GENOME000184,United Kingdom,H3,ERP012217,100.6560307,ERS852455,
GUT_GENOME000185,United Kingdom,H3,ERP012217,101.852386,ERS852456,
GUT_GENOME000186,United Kingdom,H4,ERP012217,101.8033826,ERS852457,
GUT_GENOME000187,United Kingdom,H4,ERP012217,99.01614708,ERS852458,
GUT_GENOME000188,United Kingdom,H4,ERP012217,100.7585297,ERS852459,
GUT_GENOME000189,United Kingdom,H4,ERP012217,98.14105674,ERS852460,
GUT_GENOME000190,United Kingdom,H4,ERP012217,101.4523912,ERS852461,
GUT_GENOME000191,United Kingdom,H4,ERP012217,101.4741066,ERS852462,
GUT_GENOME000192,United Kingdom,H4,ERP012217,102.2836258,ERS852463,
GUT_GENOME000193,United Kingdom,H4,ERP012217,96.90567939,ERS852464,
GUT_GENOME000194,United Kingdom,H4,ERP012217,102.3835499,ERS852465,
GUT_GENOME000195,United Kingdom,H4,ERP012217,83.47735034,ERS852466,
GUT_GENOME000196,United Kingdom,H4,ERP012217,101.6987049,ERS852467,
GUT_GENOME000197,United Kingdom,H4,ERP012217,102.6767908,ERS852468,
GUT_GENOME000198,United Kingdom,H4,ERP012217,95.89753666,ERS852469,
GUT_GENOME000199,United Kingdom,H4,ERP012217,91.33743077,ERS852470,
GUT_GENOME000200,United Kingdom,H4,ERP012217,83.25438421,ERS852471,
GUT_GENOME000201,United Kingdom,H4,ERP012217,101.9408657,ERS852472,
GUT_GENOME000202,United Kingdom,H4,ERP012217,94.70706511,ERS852473,
GUT_GENOME000203,United Kingdom,H4,ERP012217,97.86357278,ERS852474,
GUT_GENOME000204,United Kingdom,H4,ERP012217,101.2365893,ERS852476,
GUT_GENOME000205,United Kingdom,H4,ERP012217,94.84073138,ERS852477,
GUT_GENOME000206,United Kingdom,H4,ERP012217,100.3445048,ERS852478,
GUT_GENOME000207,United Kingdom,H4,ERP012217,101.6967751,ERS852479,
GUT_GENOME000208,United Kingdom,H4,ERP012217,98.1855221,ERS852480,
GUT_GENOME000209,United Kingdom,H4,ERP012217,101.9623382,ERS852481,
GUT_GENOME000210,United Kingdom,H4,ERP012217,101.0408847,ERS852483,
GUT_GENOME000211,United Kingdom,H4,ERP012217,101.8949674,ERS852485,
GUT_GENOME000212,United Kingdom,H4,ERP012217,101.0835889,ERS852486,
GUT_GENOME000213,United Kingdom,H4,ERP012217,92.48154805,ERS852487,
GUT_GENOME000214,United Kingdom,H4,ERP012217,91.48897533,ERS852488,
GUT_GENOME000215,United Kingdom,H4,ERP012217,98.8223299,ERS852489,
GUT_GENOME000216,United Kingdom,H4,ERP012217,100.8628793,ERS852490,
GUT_GENOME000217,United Kingdom,H4,ERP012217,101.8716725,ERS852491,
GUT_GENOME000218,United Kingdom,Unknown,ERP105624,91.8800023,ERS370059,
GUT_GENOME000219,United Kingdom,Unknown,ERP105624,85.52199035,ERS2046326,
GUT_GENOME000220,United Kingdom,Unknown,ERP105624,99.83975082,ERS2046327,
GUT_GENOME000221,United Kingdom,Unknown,ERP105624,100.8277488,ERS2046328,
GUT_GENOME000222,United Kingdom,Unknown,ERP105624,89.05265843,ERS2046329,
GUT_GENOME000223,United Kingdom,Unknown,ERP105624,98.59620435,ERS2046330,
GUT_GENOME000224,United Kingdom,Unknown,ERP105624,97.90218241,ERS2046317,
GUT_GENOME000225,United Kingdom,Unknown,ERP105624,98.19447463,ERS2046318,
GUT_GENOME000226,United Kingdom,Unknown,ERP105624,98.18020836,ERS2046319,
GUT_GENOME000227,United Kingdom,Unknown,ERP105624,101.7481236,ERS2046320,
GUT_GENOME000228,United Kingdom,Unknown,ERP105624,101.3123831,ERS2046321,
GUT_GENOME000229,United Kingdom,Unknown,ERP105624,97.7648385,ERS2046322,
GUT_GENOME000230,United Kingdom,Unknown,ERP105624,100.7158741,ERS2046323,
GUT_GENOME000231,United Kingdom,Unknown,ERP105624,99.11450239,ERS2046324,
GUT_GENOME000232,United Kingdom,H4,ERP012217,91.62487549,ERS852500,
GUT_GENOME000233,United Kingdom,H4,ERP012217,98.74937429,ERS852503,
GUT_GENOME000234,United Kingdom,H4,ERP012217,100.6610215,ERS852505,
GUT_GENOME000235,United Kingdom,H4,ERP012217,101.2367217,ERS852506,
GUT_GENOME000236,United Kingdom,H4,ERP012217,102.1422354,ERS852507,
GUT_GENOME000237,United Kingdom,H1,ERP012217,101.4803694,ERS852492,
GUT_GENOME000238,United Kingdom,H5,ERP012217,100.7971168,ERS852509,
GUT_GENOME000239,United Kingdom,H5,ERP012217,95.3442316,ERS852510,
GUT_GENOME000240,United Kingdom,H5,ERP012217,100.2677727,ERS852511,
GUT_GENOME000241,United Kingdom,H5,ERP012217,100.0485627,ERS852512,
GUT_GENOME000242,United Kingdom,H5,ERP012217,98.80297426,ERS852513,
GUT_GENOME000243,United Kingdom,H5,ERP012217,97.53374795,ERS852514,
GUT_GENOME000244,United Kingdom,H5,ERP012217,102.0836094,ERS852515,
GUT_GENOME000245,United Kingdom,H5,ERP012217,103.1101431,ERS852516,
GUT_GENOME000246,United Kingdom,H5,ERP012217,99.3845099,ERS852517,
GUT_GENOME000247,United Kingdom,H1,ERP012217,103.1006893,ERS852493,
GUT_GENOME000248,United Kingdom,H5,ERP012217,93.45932058,ERS852519,
GUT_GENOME000249,United Kingdom,H5,ERP012217,84.86200918,ERS852520,
GUT_GENOME000250,United Kingdom,H5,ERP012217,88.41968312,ERS852521,
GUT_GENOME000251,United Kingdom,H5,ERP012217,98.17196786,ERS852522,
GUT_GENOME000252,United Kingdom,H5,ERP012217,100.1111737,ERS852524,
GUT_GENOME000253,United Kingdom,H5,ERP012217,102.0284259,ERS852525,
GUT_GENOME000254,United Kingdom,H5,ERP012217,101.9618749,ERS852526,
GUT_GENOME000255,United Kingdom,H5,ERP012217,99.27219509,ERS852527,
GUT_GENOME000256,United Kingdom,H5,ERP012217,91.62565315,ERS852528,
GUT_GENOME000257,United Kingdom,H1,ERP012217,97.00991511,ERS852494,
GUT_GENOME000258,United Kingdom,H5,ERP012217,95.59182118,ERS852529,
GUT_GENOME000259,United Kingdom,H5,ERP012217,85.19136929,ERS852531,
GUT_GENOME000260,United Kingdom,H5,ERP012217,94.93675812,ERS852532,
GUT_GENOME000261,United Kingdom,H5,ERP012217,101.9400654,ERS852533,
GUT_GENOME000262,United Kingdom,H5,ERP012217,99.69262186,ERS852534,
GUT_GENOME000263,United Kingdom,H5,ERP012217,96.85348472,ERS852535,
GUT_GENOME000264,United Kingdom,H5,ERP012217,78.82660697,ERS852537,
GUT_GENOME000265,United Kingdom,H5,ERP012217,96.9193454,ERS852538,
GUT_GENOME000266,United Kingdom,H5,ERP012217,100.2816088,ERS852539,
GUT_GENOME000267,United Kingdom,H5,ERP012217,98.15752666,ERS852540,
GUT_GENOME000268,United Kingdom,H5,ERP012217,102.2815936,ERS852541,
GUT_GENOME000269,United Kingdom,H5,ERP012217,100.0061798,ERS852543,
GUT_GENOME000270,United Kingdom,H5,ERP012217,99.98072464,ERS852544,
GUT_GENOME000271,United Kingdom,H5,ERP012217,98.92798252,ERS852545,
GUT_GENOME000272,United Kingdom,H5,ERP012217,101.3060061,ERS852546,
GUT_GENOME000273,United Kingdom,H5,ERP012217,92.13195904,ERS852547,
GUT_GENOME000274,United Kingdom,H5,ERP012217,98.59237723,ERS852548,
GUT_GENOME000275,United Kingdom,H5,ERP012217,101.9646105,ERS852549,
GUT_GENOME000276,United Kingdom,H5,ERP012217,100.5928175,ERS852550,
GUT_GENOME000277,United Kingdom,H5,ERP012217,98.73684389,ERS852551,
GUT_GENOME000278,United Kingdom,H5,ERP012217,99.89307334,ERS852552,
GUT_GENOME000279,United Kingdom,H5,ERP012217,98.0400945,ERS852553,
GUT_GENOME000280,United Kingdom,H6,ERP012217,98.0672086,ERS852554,
GUT_GENOME000281,United Kingdom,H6,ERP012217,100.9795633,ERS852555,
GUT_GENOME000282,United Kingdom,H6,ERP012217,101.9008155,ERS852556,
GUT_GENOME000283,United Kingdom,H6,ERP012217,98.68687642,ERS852558,
GUT_GENOME000284,United Kingdom,H4,ERP012217,94.52902181,ERS852496,
GUT_GENOME000285,United Kingdom,H6,ERP012217,99.80328916,ERS852559,
GUT_GENOME000286,United Kingdom,H6,ERP012217,97.56481008,ERS852560,
GUT_GENOME000287,United Kingdom,H6,ERP012217,83.87172917,ERS852561,
GUT_GENOME000288,United Kingdom,H6,ERP012217,101.5308427,ERS852562,
GUT_GENOME000289,United Kingdom,H6,ERP012217,100.9657062,ERS852563,
GUT_GENOME000290,United Kingdom,H6,ERP012217,101.2810119,ERS852564,
GUT_GENOME000291,United Kingdom,H6,ERP012217,91.05806733,ERS852566,
GUT_GENOME000292,United Kingdom,H4,ERP012217,96.4737147,ERS852497,
GUT_GENOME000293,United Kingdom,H6,ERP012217,100.0928229,ERS852569,
GUT_GENOME000294,United Kingdom,H6,ERP012217,87.87114749,ERS852571,
GUT_GENOME000295,United Kingdom,H6,ERP012217,98.99173423,ERS852572,
GUT_GENOME000296,United Kingdom,H6,ERP012217,101.9816579,ERS852573,
GUT_GENOME000297,United Kingdom,H6,ERP012217,100.022721,ERS852574,
GUT_GENOME000298,United Kingdom,H6,ERP012217,102.2258643,ERS852575,
GUT_GENOME000299,United Kingdom,H6,ERP012217,95.87138708,ERS852576,
GUT_GENOME000300,United Kingdom,H6,ERP012217,98.43228204,ERS852578,
GUT_GENOME000301,United Kingdom,H4,ERP012217,97.78392213,ERS852498,
GUT_GENOME000302,United Kingdom,H6,ERP012217,89.85864942,ERS852579,
GUT_GENOME000303,United Kingdom,H6,ERP012217,97.82475881,ERS852580,
GUT_GENOME000304,United Kingdom,H6,ERP012217,100.4562092,ERS852581,
GUT_GENOME000305,United Kingdom,H6,ERP012217,101.1266448,ERS852582,
GUT_GENOME000306,United Kingdom,H6,ERP012217,101.1938342,ERS852583,
GUT_GENOME000307,United Kingdom,H3,ERP012217,96.97493374,ERS852584,
GUT_GENOME000308,United Kingdom,H4,ERP012217,102.1108649,ERS852499,
GUT_GENOME000309,Canada,Unknown,ERP105624,98.38268071,ERS2046808,
GUT_GENOME000310,Canada,Unknown,ERP105624,102.0307979,ERS2046809,
GUT_GENOME000311,Canada,Unknown,ERP105624,102.1740236,ERS2046810,
GUT_GENOME000312,Canada,Unknown,ERP105624,86.83695797,ERS2046807,
GUT_GENOME000313,Canada,Unknown,ERP105624,100.3238641,ERS2046812,
GUT_GENOME000314,Canada,Unknown,ERP105624,98.96398724,ERS2046811,
GUT_GENOME000315,United Kingdom,Unknown,ERP105624,96.96483702,ERS2046813,
GUT_GENOME000316,United Kingdom,Unknown,ERP105624,102.2564329,ERS2046331,
GUT_GENOME000317,United Kingdom,Unknown,ERP105624,101.7191729,ERS2046332,
GUT_GENOME000318,United Kingdom,Unknown,ERP105624,102.1179634,ERS2046333,
GUT_GENOME000319,United Kingdom,Unknown,ERP105624,101.7043027,ERS2046334,
GUT_GENOME000320,Canada,Unknown,ERP105624,100.3774166,ERS2046341,
GUT_GENOME000321,United Kingdom,Unknown,ERP105624,102.1820242,ERS2046343,
GUT_GENOME000322,United Kingdom,Unknown,ERP105624,101.8260732,ERS2046344,
GUT_GENOME000323,United Kingdom,Unknown,ERP105624,102.4584208,ERS2046345,
GUT_GENOME000324,United Kingdom,Unknown,ERP105624,102.1590073,ERS2046346,
GUT_GENOME000325,United Kingdom,Unknown,ERP105624,102.6216133,ERS2046347,
GUT_GENOME000326,United Kingdom,Unknown,ERP105624,102.6297061,ERS2046348,
GUT_GENOME000327,United Kingdom,Unknown,ERP105624,83.36180371,ERS2046349,
GUT_GENOME000328,United Kingdom,Unknown,ERP105624,101.9487494,ERS2046350,
GUT_GENOME000329,United Kingdom,Unknown,ERP105624,102.4295817,ERS2046351,
GUT_GENOME000330,United Kingdom,Unknown,ERP105624,102.3512742,ERS2046352,
GUT_GENOME000331,United Kingdom,Unknown,ERP105624,102.3522082,ERS2046354,
GUT_GENOME000332,United Kingdom,Unknown,ERP105624,102.2423078,ERS2046355,
GUT_GENOME000333,United Kingdom,Unknown,ERP105624,86.09709758,ERS2046356,
GUT_GENOME000334,United Kingdom,Unknown,ERP105624,102.632038,ERS2046357,
GUT_GENOME000335,United Kingdom,Unknown,ERP105624,102.4797187,ERS2046358,
GUT_GENOME000336,United Kingdom,Unknown,ERP105624,102.2620452,ERS2046342,
GUT_GENOME000337,United Kingdom,Unknown,ERP105624,101.7319355,ERS2046353,
GUT_GENOME000338,United Kingdom,Unknown,ERP105624,82.48043412,ERS2046359,
GUT_GENOME000339,United Kingdom,Unknown,ERP105624,101.7620847,ERS846579,
GUT_GENOME000340,United Kingdom,Unknown,ERP105624,102.2656338,ERS846580,
GUT_GENOME000341,United Kingdom,Unknown,ERP105624,101.9727819,ERS846581,
